
Old Testament 1		      Old Testament 2		       New Testamemt
January
Gen. 1:1 to 2:3         Job 1:1 to 2:10          Matt. 1
Gen. 2:4-25 		        Job 2:11 to 3:26 	       Matt. 2
Gen. 3 			            Job 4, 5 		             Matt. 3
Gen. 4, 5               Job 6, 7                 Matt. 4
Gen. 6:1 to 7:10        Job 8                    Matt. 5:1-20
Gen. 7:11 to 8:19       Job 9, 10                Matt. 5:21-48
Gen. 8:20 to 9:29       Job 11, 12               Matt. 6:1-18
Gen. 10:1 to 11:26      Job 13, 14               Matt. 6:19 to 7:6
Gen. 11:27 to 12:20     Job 15                   Matt. 7:7-29
Gen. 13, 14             Job 16, 17               Matt. 8:1-27
Gen. 15, 16             Job 18, 19               Matt. 8:28 to 9:17
Gen. 17                 Job 20                   Matt. 9:18-38
Gen. 18                 Job 21                   Matt. 10:1-25
Gen. 19                 Job 22                   Matt. 10:26 to 11:1
Gen. 20, 21             Job 23, 24               Matt. 11:2-30
Gen. 22                 Job 25, 26, 27           Matt. 12:1-21
Gen. 23                 Job 28                   Matt. 12:22-50
Gen. 24                 Job 29, 30               Matt. 13:1-23
Gen. 25                 Job 31                   Matt. 13:24-43
Gen. 26                 Job 32, 33               Matt. 13:44 to 14:13
Gen. 27                 Job 34, 35               Matt. 14:14-36
Gen. 28                 Job 36, 37               Matt. 15:1-28
Gen. 29                 Job 38, 39               Matt. 15:29 to 16:12
Gen. 30                 Job 40, 41               Matt. 16:13 to 17:13
Gen. 31                 Job 42                   Matt. 17:14 to 18:14
Gen. 32:1 to 33:16      Psalms 1, 2, 3           Matt. 18:15-35
Gen. 33:17 to 34:31     Psalms 4. 5, 6           Matt. 19:1-15
Gen. 35                 Psalms 7, 8              Matt. 19:16 to 20:16
Gen. 36                 Psalms 9, 10             Matt. 20:17-34
Gen. 37                 Psalms 11, 12, 13, 14    Matt. 21:1-32
Gen. 38                 Psalms 15, 16            Matt. 21:33 to 22:14

Febuary
Gen. 39                 Psalm 17                 Matt. 22:15-46
Gen. 40                 Psalm 18:1-29            Matt. 23
Gen. 41:1-49            Psalm 18:30-50           Matt. 24:1-28
Gen. 41:50 to 42:38     Psalm 19                 Matt. 24:29-51
Gen. 43                 Psalms 20, 21            Matt. 25:1-30
Gen. 44                 Psalm 22                 Matt. 25:31 to 26:2
Gen. 45                 Psalms 23, 24            Matt. 26:3-30
Gen. 46:1 lo 47:26      Psalm 25                 Matt. 26:31-57
Gen. 47:27 to 48:22     Psalms 26, 27            Matt. 26:58-75
Gen. 49                 Psalms 28, 29            Matt. 27:1-26
Gen. 50                 Psalm 30                 Matt. 27:27-44
Exod. 1:1 to 2:22       Psalm 31                 Matt. 27:45-68
Exod. 2:23 to 3:22      Psalms 32, 33            Matt. 28
Exod. 4                 Psalm 34                 Acts 1
Exod. 5:1 to 6:12       Psalms 35, 36            Acts 2:1-21
Exod. 6:13 to 7:25      Psalm 37                 Acts 2:22-47
Exod. 8                 Psalms 38, 39            Acts 3
Exod. 9                 Psalms 40, 41            Acts 4:1-31
Exod. 10                Psalms 42, 43            Acts 4:32 to 5:11
Exod. 11:1 to 12:20     Psalm 44                 Acts 5:12-42
Exod. 12:21-51          Psalms 45, 46            Acts 6
Exod. 13:1 to 14:4      Psalms 47, 48            Acts 7:1-29
Exod. 14:5-31           Psalms 49, 50            Acls 7:30 to 8:4
Exod. 15                Psalm 51                 Acts 8:5-40
Exod. 16                Psalms 52, 53, 54        Acts 9:1-31
Exod. 17                Psalm 55                 Acts 9:32-43
Exod. 18                Psalms 56, 57            Acts 10:1-23
Exod. 19                Psalms 58, 59            Acts 10:24-48

March
Exod. 20                Psalms 60, 61            Acts 11:1-18
Exod. 21                Psalms 62, 63            Acts 11:19-30
Exod. 22:1 to 23:9      Psalms 64, 65            Acts 12
Exod. 23:10-33          Psalms 66, 67            Acts 13:1-25
Exod. 24                Psalm 68                 Acts 13:26-52
Exod. 25                Psalm 69                 Acts 14
Exod. 26:1-30           Psalms 70, 71            Acts 15:1-21
Exod. 26:31 to 27:19    Psalm 72                 Acts 15:22-35
Exod. 27:20 to 28:14    Psalm 73                 Acts 15:36 to 16:15
Exod. 28:15-43          Psalms 74, 75            Acts 16:16-40
Exod. 29:1-37           Psalms 76, 77            Acts 17:1-15
Exod. 29:38 to 30:10    Psalm 78:1-31            Acts 17:16-34
Exod. 30:11-38          Psalm 78:32-72           Acts 18:1-22
Exod. 31                Psalms 79, 80            Acts 18:23 to 19:20
Exod. 32                Psalms 81, 82            Acts 19:21-41
Exod. 33:1 to 34:3      Psalms 83, 84            Acts 20:1-16
Exod. 34:4-35           Psalms 85, 86            Acts 20:17-38
Exod. 35                Psalms 87, 88            Acts 21:1-16
Exod. 36                Psalm 89:1-18            Acts 21:17-40
Exod. 37                Psalm 89:19-52           Acts 22:1-21
Exod. 38                Psalms 90, 91            Acts 22:22 to 23:11
Exod. 39                Psalms 92, 93            Acts 23:12-35
Exod. 40                Psalms 94, 95            Acts 24
Lev. 1                  Psalms 96, 97, 98        Acts 25:1-22
Lev. 2                  Psalms 99, 100, 101      Acts 25:23 to 26:11
Lev. 3                  Psalm 102                Acts 26:12-32
Lev. 4:1-26             Psalm 103                Acts 27:1-26
